artist,genre,averagePopularity,popularityTier
Anna Landström,piano,58.333333333333336,5
Anna Luisa,mpb,38.0,3
Anna Maria Jopek,guitar,24.666666666666668,2
Anna Maria Kaufmann,show-tunes,24.0,2
Anna Moffo,opera,22.0,2
Anna Naklab,electronic,65.0,6
Anna Naklab,french,65.0,6
Anna Nalick,acoustic,65.0,6
Anna Netrebko,opera,21.142857142857142,2
Anna Rickards,drum-and-bass,51.0,5
Anna Rose & Amanda,children,39.5,3
Anna Stadling,swedish,0.0,0
Anna Straker,deep-house,63.0,6
Anna Straker,groove,63.0,6
Anna Ternheim,swedish,0.0,0
Anna Yvette,dub,50.0,5
Anna Yvette,dubstep,43.0,4
Anna Yvette,edm,55.0,5
Anna of the North,electro,59.0,5
Anna of the North,indie,59.0,5
Anna of the North,indie-pop,59.0,5
Anna of the North,soul,59.0,5
Anna-Maria Zimmermann,disco,32.666666666666664,3
Anna-Maria Zimmermann,party,28.0,2
Anna-Sophia Henry,french,53.5,5
Annabelle Kralisch,guitar,24.0,2
Annabel,trance,51.0,5
Annakutty,malay,24.0,2
Annaleigh Ashford,show-tunes,22.0,2
Annalisa,reggae,0.0,0
Anne Amie,folk,46.0,4
Anne Amie,indian,46.0,4
Anne Amie,k-pop,46.0,4
Anne Amie,malay,20.0,2
Anne Amie,pop-film,59.0,5
Anne Kihlstrom,swedish,37.0,3
Anne Kirkpatrick,children,30.0,3
Anne Queffélec,classical,0.0,0
Anne Sofie von Otter,classical,0.0,0
Anne Trenning,new-age,23.0,2
Anne Vallayer,piano,54.0,5
Anne Wilson,world-music,40.0,4
Anne-James Chaton,idm,12.0,1
Anne-Marie,dance,18.428571428571427,1
Anne-Marie,deep-house,38.0,3
Anne-Marie,edm,26.545454545454547,2
Anne-Marie,electro,50.666666666666664,5
Anne-Marie,funk,29.0,2
Anne-Marie,garage,38.0,3
Anne-Marie,groove,38.0,3
Anne-Marie,house,20.877551020408163,2
Anne-Marie,mandopop,52.5,5
Anne-Marie,pop,80.5,8
Anne-Marie,pop-film,63.0,6
Anne-Marie,progressive-house,47.0,4
Anne-Sophie Mutter,classical,0.0,0
Anne-Sophie Mutter,german,0.0,0
Anneliese Rothenberger,french,0.0,0
Anneliese Rothenberger,opera,10.5,1
Annelise Cepero,show-tunes,49.0,4
Annemieke van Dam,show-tunes,21.0,2
AnnenMayKantereit,german,78.0,7
AnnenMayKantereit,indie,78.0,7
AnnenMayKantereit,singer-songwriter,78.0,7
AnnenMayKantereit,songwriter,78.0,7
Annette Cantor,new-age,53.0,5
Anni B Sweet,spanish,55.0,5
Anni Kajos,disney,18.0,1
Annie Get Your Gun - 1999 Broadway Cast,show-tunes,22.0,2
Annie Lennox,rock,7.909090909090909,0
Annie Lennox,singer-songwriter,4.8,0
Annie Lennox,songwriter,4.8,0
Annie Lennox,synth-pop,38.35294117647059,3
Annie Schindel,dub,39.0,3
Annie Schindel,dubstep,39.0,3
Annie Schindel,progressive-house,57.0,5
Annihilator,death-metal,31.0,3
Annihilator,groove,22.0,2
Annika Herlitz,show-tunes,40.0,4
Annika Wells,dub,52.0,5
Annika Wells,dubstep,52.0,5
Annika Wells,edm,61.0,6
Annika Wells,house,61.0,6
Annisokay,goth,53.0,5
Annix,drum-and-bass,18.0,1
Annural Khalid,electronic,33.5,3
Annural Khalid,indian,49.0,4
Annural Khalid,indie,49.0,4
Annural Khalid,indie-pop,49.0,4
Anny,party,25.0,2
Anomalie,trip-hop,17.0,1
Anonimus,hardcore,30.0,3
Anonymous Dubs,garage,0.0,0
Anoop Shankar,malay,29.0,2
Anoraak,synth-pop,0.0,0
Anoushbard,iranian,3.0,0
Anoushka Maskey,indie,44.0,4
Anoushka Shankar,british,21.5,2
Ansar.,electronic,27.0,2
Ansel Collins,j-dance,23.0,2
Anshuman Sharma,folk,34.0,3
Ansiktet,swedish,41.0,4
Anson Seabra,singer-songwriter,48.714285714285715,4
Anson Seabra,songwriter,48.714285714285715,4
Anstandslos & Durchgeknallt,party,25.9,2
Ant Saunders,chill,61.5,6
Antal Doráti,classical,0.0,0
Antara Mitra,indian,54.77777777777778,5
Antara Mitra,pop,64.0,6
Antara Mitra,pop-film,64.0,6
Antara Nandy,pop,68.0,6
Antara Nandy,pop-film,63.0,6
Ante Perry,minimal-techno,0.0,0
Ante Perry,techno,0.0,0
Antennaah,study,40.5,4
Anthony Broughton,kids,12.0,1
Anthony B,dancehall,0.0,0
Anthony B,french,0.0,0
Anthony Camden,opera,21.0,2
Anthony Colon,salsa,0.0,0
Anthony Daasan,hip-hop,68.0,6
Anthony Daasan,k-pop,46.0,4
Anthony Daasan,pop,34.0,3
Anthony Daasan,pop-film,46.0,4
Anthony De Mare,show-tunes,21.0,2
Anthony Gonzalez,french,53.0,5
Anthony Green,hardcore,33.0,3
Anthony Hamilton,british,37.0,3
Anthony Hamilton,soul,0.3333333333333333,0
Anthony Inglis,opera,53.0,5
Anthony Keyrouz,edm,73.0,7
Anthony Keyrouz,electro,73.0,7
Anthony Keyrouz,electronic,56.9,5
Anthony Keyrouz,house,73.0,7
Anthony Lazaro,j-pop,49.25,4
Anthony Lazaro,jazz,49.25,4
Anthony Nicholson,chicago-house,12.0,1
Anthony Ramos,jazz,70.0,7
Anthony Ramos,show-tunes,58.75,5
Anthony Rapp,disney,28.0,2
Anthony Rapp,show-tunes,32.4,3
Anthony Rooley,opera,0.0,0
Anthony Rother,minimal-techno,18.0,1
Anthony Russo,chill,49.0,4
Anthony Santos,electro,0.6666666666666666,0
Anthony Santos,hip-hop,0.5,0
Anthony Santos,latin,0.5,0
Anthony Santos,latino,0.5,0
Anthony Santos,reggae,0.5,0
Anthony Santos,reggaeton,0.5,0
Anthony Shakir,detroit-techno,5.0,0
Anthony Weeden,ambient,56.0,5
Anthony Wong,cantopop,30.2,3
Anthrax,alt-rock,0.6666666666666666,0
Anthrax,hard-rock,0.6666666666666666,0
Anthrax,metal,0.6666666666666666,0
Anthropological,sleep,59.0,5
Anti & Ratok,electronic,33.0,3
Antibalas,afrobeat,16.0,1
Antichrist Siege Machine,black-metal,17.5,1
Antidoping,ska,34.0,3
Antifuchs,hardcore,30.0,3
Antifuchs,metalcore,30.0,3
Antigama,grindcore,12.181818181818182,1
Antillas,trance,48.0,4
Antinomy,trance,35.0,3
Anton Ishutin,groove,0.5454545454545454,0
Anton Mittermayr,classical,0.0,0
Anton Mittermayr,french,0.0,0
Anton Mittermayr,german,0.0,0
Anton Mittermayr,opera,0.0,0
Anton Mittermayr,sleep,0.0,0
Anton Powers,deep-house,35.0,3
Anton Powers,groove,39.666666666666664,3
Anton Steck,classical,11.4,1
Antonello Leofreddi,ambient,52.0,5
Antonia Bennett,jazz,39.0,3
Antonia Fahberg,opera,22.0,2
Antonino Votto,opera,22.0,2
Antonio Agri,tango,19.0,1
Antonio Biribiesca,guitar,21.0,2
Antonio Bribiesca,guitar,24.25,2
Antonio Caldara,opera,20.0,2
Antonio Carlos & Jocafi,afrobeat,26.0,2
Antonio Carlos & Jocafi,dub,34.0,3
Antonio Carlos & Jocafi,samba,35.0,3
Antonio Carmona,latin,0.0,0
Antonio Carmona,spanish,26.0,2
Antonio Cartagena,salsa,27.5,2
Antonio Cirilo,brazil,44.0,4
Antonio Cirilo,gospel,41.5,4
Antonio Garcia Isaac,guitar,34.5,3
Antonio Jesús Asiáin Sanz,world-music,21.0,2
Antonio José,spanish,20.333333333333332,2
Antonio Marcenò,opera,50.0,5
Antonio Orozco,latin,0.0,0
Antonio Orozco,spanish,34.25,3
Antonio Pappano,classical,0.0,0
Antonio Pappano,opera,21.5,2
"Antonio Rayo ""Rayito""",spanish,30.0,3
Antonio Sol,disney,38.5,3
Antonio Tarragó Ros,folk,42.0,4
Antonio Tarragó Ros,tango,17.0,1
Antonio Vega,spanish,41.0,4
Antonio Vivaldi,classical,12.9,1
Antonio y Joel Con Labranza,salsa,30.0,3
Antonis Kalogiannis,guitar,24.0,2
Antony & Gabriel,sertanejo,48.6,4
Antony Genn,british,50.0,5
Antonín Dvořák,classical,0.0,0
Antra Mitra,classical,32.0,3
Antti L.j. Pääkkönen,disney,24.0,2
Antti Paakkonen,disney,20.75,2
Antuan,latino,41.0,4
Antuan,reggaeton,41.0,4
Antônio Carlos Jobim,brazil,0.16666666666666666,0
Antônio Carlos Jobim,classical,0.16666666666666666,0
Antônio Carlos Jobim,jazz,10.625,1
Antônio Carlos Jobim,latin,0.16666666666666666,0
Antônio Carlos Jobim,mpb,0.16666666666666666,0
Antônio Carlos Jobim,samba,42.0,4
Anu Malik,hip-hop,59.0,5
Anu Malik,pop-film,60.0,6
Anuel AA,emo,75.0,7
Anuel AA,latin,0.9714285714285714,0
Anuel AA,latino,22.8,2
Anuel AA,reggae,10.435897435897436,1
Anuel AA,reggaeton,23.428571428571427,2
Anugrah,pop-film,61.0,6
Anumita Nadesan,malay,58.0,5
Anupam Amod,indian,55.0,5
Anupam Mukherjee,singer-songwriter,39.0,3
Anupam Mukherjee,songwriter,39.0,3
Anupam Roy,indian,45.666666666666664,4
Anupam Roy,indie,44.26315789473684,4
Anupam Roy,indie-pop,42.81481481481482,4
Anupam Roy,k-pop,46.2,4
Anupam Roy,pop-film,62.0,6
Anupam Roy,singer-songwriter,40.73684210526316,4
Anupam Roy,songwriter,40.73684210526316,4
Anupma Mishra,samba,25.0,2
Anuradha Paudwal,folk,34.0,3
Anuradha Paudwal,k-pop,46.883720930232556,4
Anuradha Paudwal,pop-film,57.666666666666664,5
Anuradha Sriram,k-pop,45.0,4
Anuradha Sriram,malay,24.5,2
Anuradha,pop-film,58.0,5
Anurag Kulkarni,k-pop,59.0,5
Anurag Kulkarni,pop,72.0,7
Anurag Kulkarni,pop-film,53.5,5
Anurag Saikia,folk,35.5,3
Anurag Saikia,indian,49.0,4
Anurag Saikia,pop-film,60.0,6
Anurag Saikia,singer-songwriter,39.5,3
Anurag Saikia,songwriter,39.5,3
Anurag Vashisht,indian,54.333333333333336,5
Anurag Vashisht,singer-songwriter,42.285714285714285,4
Anurag Vashisht,songwriter,42.285714285714285,4
Anushka Manchanda,folk,47.0,4
Anushka Manchanda,indian,47.75,4
Anuv Jain,indian,64.1,6
Anuv Jain,indie,64.1,6
Anuv Jain,singer-songwriter,64.0,6
Anuv Jain,songwriter,64.0,6
Anvita Dutt Guptan,folk,41.0,4
Anvita Dutt Guptan,indian,47.0,4
Anvita Dutt,indian,56.2,5
Anvita Dutt,pop,77.0,7
Anvita Dutt,pop-film,70.5,7
Anvita Dutt,singer-songwriter,63.0,6
Anvita Dutt,songwriter,63.0,6
Anxiety Attacks!,emo,48.0,4
Anxious,hardcore,31.0,3
Any Given Day,metalcore,23.5,2
Anya Marina,acoustic,32.0,3
Anyma,minimal-techno,34.0,3
Anyma,techno,47.0,4
Anything Goes Ensemble (1987),show-tunes,24.0,2
Anz,club,47.0,4
Aníbal Arias,tango,18.0,1
Aníbal Troilo Y Su Orquesta Típica,tango,19.583333333333332,1
Aníbal Troilo,tango,18.5,1
Anıl Durmuş,turkish,39.0,3
Anıl Emre Daldal,turkish,75.0,7
Anıl Piyancı,turkish,34.666666666666664,3
Aodhan King,world-music,42.333333333333336,4
Aoi Teshima,acoustic,48.0,4
Aoife O'Donovan,bluegrass,41.833333333333336,4
Aoki Takamasa,idm,10.666666666666666,1
Aonikenk,heavy-metal,22.0,2
Apache Indian,dancehall,10.37037037037037,1
Aparde,minimal-techno,38.0,3
Aparna Harikumar,malay,26.0,2
Aparna Sathyan,malay,26.0,2
Apartment 213,grindcore,13.0,1
Apaztron,deep-house,48.0,4
Ape Drums,latino,64.0,6
Ape Drums,reggaeton,64.0,6
Apech,sleep,60.0,6
Apes of the State,acoustic,28.5,2
Apex,drum-and-bass,38.0,3
Aphex Twin,ambient,56.45454545454545,5
Aphex Twin,electronic,62.5,6
Aphrodite's Child,psych-rock,45.5,4
Aphrodite,breakbeat,13.818181818181818,1
Aphrodite,drum-and-bass,18.5,1
Apocalyptica,metal,63.0,6
Apollo 440,breakbeat,24.833333333333332,2
Apollo Fresh,anime,66.0,6
Apollo Jane,electronic,52.0,5
Apollo Voices,latin,0.3333333333333333,0
Apollo Voices,opera,11.25,1
Apollo Voices,sleep,0.0,0
Apoorva Sreejith,children,42.0,4
Apoptygma Berzerk,industrial,22.11111111111111,2
Appalachian Express,bluegrass,41.0,4
Appalachian Road Show,bluegrass,24.0,2
Apparat,ambient,45.25,4
Apparat,electro,60.0,6
Apparat,electronic,50.0,5
Apparat,minimal-techno,35.25,3
April Baxter,piano,60.0,6
April Bender,dub,43.0,4
April Bender,dubstep,43.0,4
April Bender,progressive-house,52.0,5
Apzi,electronic,42.0,4
Aqua Timez,anime,50.333333333333336,5
Aqua Timez,j-pop,50.333333333333336,5
Aqua Timez,j-rock,50.333333333333336,5
Aquagen,disco,29.0,2
Aquagen,party,29.0,2
Aqualung,acoustic,37.0,3
Aqualung,piano,37.0,3
Aquasky Vs Masterblaster,breakbeat,17.0,1
Aquasky,breakbeat,13.666666666666666,1
Aquatica,trance,29.0,2
Aquilo,ambient,50.0,5
Aquilo,folk,62.0,6
Aquilo,new-age,51.0,5
Ara Ketu,pagode,45.0,4
Ara Ketu,reggae,45.5,4
Ara Ketu,samba,41.8,4
Ara Ketu,sertanejo,47.0,4
Aradia Ensemble,opera,51.0,5
Arash Azadi,iranian,0.0,0
Arash Pandi,iranian,0.0,0
Arash,deep-house,43.0,4
Arc North,edm,56.6,5
Arc North,house,64.0,6
Arcado,malay,17.0,1
Arcando,house,59.0,5
Arcane,alt-rock,70.0,7
Arcane,indie-pop,70.0,7
Arcane,rock,62.0,6
Arcangelo Corelli,classical,0.5,0
Arcangel,latin,10.666666666666666,1
Arcangel,latino,16.77777777777778,1
Arcangel,reggae,11.5,1
Arcangel,reggaeton,21.714285714285715,2
Arca,club,44.793103448275865,4
Arch Enemy,death-metal,51.8,5
Archagathus,grindcore,14.916666666666666,1
Archaik,drum-and-bass,17.0,1
Archana Mohan Iyer,malay,35.5,3
Archana Padhi,samba,30.5,3
Archila,deep-house,43.0,4
Archit Anand,electronic,41.0,4
Archit Anand,indian,41.0,4
Architechs,garage,28.0,2
Architects,metal,65.0,6
Architects,metalcore,35.71875,3
Architecture In Helsinki,punk,44.0,4
Architecture In Helsinki,punk-rock,44.0,4
Archive,electronic,52.0,5
Archive,trip-hop,32.42857142857143,3
Archspire,death-metal,47.0,4
Arckanum,black-metal,17.0,1
Arctic Lake,german,59.0,5
Arctic Lake,minimal-techno,59.0,5
Arctic Lake,progressive-house,51.0,5
Arctic Lake,techno,59.0,5
Arctic Monkeys,garage,57.14678899082569,5
Arctic Monkeys,indie,45.125,4
Arctic Monkeys,rock,60.473684210526315,6
Arcturus,black-metal,17.5,1
Arda Gezer,turkish,43.0,4
Arden Jones,sad,59.4,5
Ardhito Pramono,j-pop,48.333333333333336,4
Ardhito Pramono,jazz,48.333333333333336,4
Ardian Bujupi,folk,52.0,5
Ardian Bujupi,german,52.0,5
Ardiansyah Darmawangsa,hardcore,41.0,4
Ardyn,electronic,55.0,5
Area 11,industrial,23.615384615384617,2
Arek Kopaczewski,disco,32.0,3
Arem Ozguc,deep-house,54.0,5
Arem Ozguc,edm,68.0,6
Arem Ozguc,turkish,60.0,6
Arena Louvor,gospel,40.0,4
Ares Trio,ambient,1.75,0
Ares Trio,classical,1.75,0
Aretha Franklin,blues,36.0,3
Aretha Franklin,disco,0.0,0
Aretha Franklin,funk,0.0,0
Aretha Franklin,jazz,25.333333333333332,2
Aretha Franklin,soul,0.2,0
Aretha Franklin,synth-pop,24.0,2
Argentino Ledesma,tango,22.142857142857142,2
Argentino Luna,folk,43.0,4
Argy,deep-house,44.0,4
Argy,minimal-techno,38.4,3
Argy,techno,46.4,4
Ari Koivunen,heavy-metal,21.0,2
Ari Shaffir,comedy,21.0,2
Ariana DeBose,show-tunes,54.0,5
Ariana Grande,dance,80.14285714285714,8
Ariana Grande,hip-hop,5.0,0
Ariana Grande,opera,46.0,4
Ariana Grande,pop,84.0,8
Ariana Grande,progressive-house,48.0,4
Ariana Grande,show-tunes,44.0,4
Arianna Rosario,show-tunes,49.0,4
Arianne,gospel,38.666666666666664,3
Aria,heavy-metal,40.666666666666664,4
Aribo,deep-house,0.0,0
Aribo,groove,0.0,0
Ariel Ardit,tango,22.166666666666668,2
Ariel Donato,funk,46.0,4
Ariel Pink,garage,53.333333333333336,5
Ariel Pink,psych-rock,50.0,5
Ariel Ramírez,folk,0.0,0
Aries,breakbeat,13.0,1
Aries,drum-and-bass,19.0,1
Aries,sad,55.666666666666664,5
Arif Cooper,dance,0.0,0
Arif Cooper,dancehall,4.0,0
Arif Cooper,j-dance,6.0,0
Arif Cooper,reggae,0.0,0
Arijit Anand,indian,49.666666666666664,4
Arijit Anand,indie,49.666666666666664,4
Arijit Anand,singer-songwriter,31.571428571428573,3
Arijit Anand,songwriter,31.571428571428573,3
Arijit Singh,edm,43.0,4
Arijit Singh,folk,39.5,3
Arijit Singh,hip-hop,58.0,5
Arijit Singh,indian,54.54545454545455,5
Arijit Singh,indie-pop,43.0,4
Arijit Singh,k-pop,62.25,6
Arijit Singh,pop,67.91304347826087,6
Arijit Singh,pop-film,61.55118110236221,6
Arijit Singh,singer-songwriter,36.0,3
Arijit Singh,songwriter,36.0,3
Aril Brikha,detroit-techno,7.454545454545454,0
Arild Aas,deep-house,47.0,4
Arin Ray,chill,58.0,5
Arinity,french,54.0,5
Arinn,deep-house,50.0,5
Arinn,groove,50.0,5
Arioso Quartett Wien,british,0.0,0
Arioso Quartett Wien,classical,0.0,0
Arioso Quartett Wien,german,0.0,0
Arioso Quartett Wien,opera,0.0,0
Arivu,edm,49.0,4
Arivu,electro,49.0,4
Arivu,electronic,49.0,4
Arivu,hip-hop,58.0,5
Arivu,indie,48.666666666666664,4
Arivu,k-pop,33.666666666666664,3
Ariza,acoustic,30.0,3
Ari,french,50.25,5
Arja Saijonmaa,swedish,40.0,4
Arjan Dhillon,pop,69.0,6
Arjan virk,hip-hop,58.0,5
Arjon Oostrom,hardstyle,28.0,2
Arjun Kanungo,hip-hop,63.8,6
Arjun Kanungo,indian,48.0,4
Arjun Kanungo,pop,67.0,6
Arjun Kanungo,pop-film,58.0,5
Arjun,hip-hop,62.0,6
Ark Patrol,soul,71.0,7
Arkadiy Pogodin,romance,0.0,0
Arkana,dub,42.0,4
Arkana,dubstep,42.0,4
Arkania,spanish,28.0,2
Arkano,spanish,64.0,6
Arkona,black-metal,18.0,1
Arko,edm,43.0,4
Arko,indian,43.0,4
Arko,indie-pop,43.0,4
Arko,k-pop,46.0,4
Arko,pop,68.5,6
Arko,pop-film,63.888888888888886,6
Arlindinho,pagode,43.0,4
Arlindinho,samba,40.0,4
Arlindo Cruz,mpb,42.0,4
Arlindo Cruz,pagode,41.2,4
Arlindo Cruz,samba,39.46153846153846,3
Arlington High School Philharmonia Strings,classical,0.0,0
Arlissa,deep-house,40.0,4
Arlissa,groove,40.0,4
Arm In Arm,techno,38.0,3
Arma Blanca,spanish,26.0,2
Armaan Malik,edm,43.0,4
Armaan Malik,folk,35.0,3
Armaan Malik,indian,56.333333333333336,5
Armaan Malik,indie-pop,43.0,4
Armaan Malik,pop,69.6,6
Armaan Malik,pop-film,62.035714285714285,6
Armaja,electronic,0.0,0
Armaja,german,0.0,0
Armaja,techno,0.0,0
Arman Aydin,deep-house,54.0,5
Arman Aydin,edm,68.0,6
Arman Aydin,turkish,60.0,6
Arman Cekin,deep-house,48.0,4
Armand Amar,ambient,46.0,4
Armand Van Helden,deep-house,23.666666666666668,2
Armand Van Helden,disco,3.0,0
Armand Van Helden,garage,65.0,6
Armand Van Helden,groove,3.0,0
Armand Van Helden,progressive-house,5.0,0
Armandinho,brazil,44.4,4
Armandinho,punk-rock,41.0,4
Armandinho,reggae,45.333333333333336,4
Armando Filho,brazil,43.0,4
Armando Filho,gospel,40.666666666666664,4
Armando Garmendi,opera,20.0,2
Armando Gatto,opera,23.0,2
Armando Laborde,tango,21.0,2
Armando Moreno,tango,20.5,2
Armando Pontier y su Orquesta Tipica,tango,27.0,2
Armando Pontier y su Orquesta,tango,22.571428571428573,2
Armando Pontier,tango,22.75,2
Armando,chicago-house,9.4,0
Armani White,hip-hop,89.0,8
Armani White,indie,30.0,3
Armanii,dancehall,28.0,2
Armağan Oruç,edm,47.0,4
Armağan Oruç,turkish,46.0,4
Armen Miran,electronic,50.0,5
Armin van Buuren,alt-rock,1.0,0
Armin van Buuren,alternative,1.0,0
Armin van Buuren,dance,1.0,0
Armin van Buuren,dub,47.0,4
Armin van Buuren,dubstep,47.0,4
Armin van Buuren,edm,63.75,6
Armin van Buuren,house,62.333333333333336,6
Armin van Buuren,progressive-house,35.270270270270274,3
Armin van Buuren,trance,38.9811320754717,3
Armor For Sleep,hardcore,29.0,2
Armored Dawn,brazil,54.0,5
Armored Dawn,metal,53.5,5
Arnab Dutta,pop-film,60.0,6
Arnaldo Antunes,brazil,45.0,4
Arnaldo Antunes,mpb,44.0,4
Arne Qvick,swedish,37.0,3
Arnez J,comedy,22.0,2
Arnold Kasar,ambient,49.0,4
Arnold Moreno,salsa,29.0,2
Arnold Schoenberg Chor,classical,0.0,0
Arnold Schoenberg Chor,show-tunes,28.0,2
Arnold Schönberg Choir,classical,1.0,0
Arnold Schönberg Choir,german,1.0,0
Arno,blues,35.0,3
Arnór Dan,ambient,54.0,5
Arohi Mhatre,folk,34.0,3
Aromal Chekaver,malay,17.90909090909091,1
Aron Edwards,piano,53.0,5
Aron Wright,acoustic,44.6,4
AronChupa,swedish,61.8,6
Arooj Aftab,indie,51.0,5
Arovane,idm,15.714285714285714,1
Arpita Chatterjee,classical,30.0,3
Arranged By,opera,51.0,5
Arrebato,spanish,57.0,5
Arrested Youth,alt-rock,66.0,6
Arrested Youth,alternative,66.0,6
Arrested Youth,dubstep,37.0,3
Arrhult,swedish,46.0,4
Arrol Corelli,indian,42.0,4
Arsames,iranian,6.6,0
Arsenale Sonoro,opera,24.0,2
Arsonists Get All The Girls,death-metal,22.0,2
Art Brut,british,27.0,2
Art Farmer,jazz,51.0,5
Art Frequency,hardstyle,19.0,1
Art Of Fighters,happy,21.0,2
Art Popular,pagode,45.76470588235294,4
Art Popular,samba,41.935483870967744,4
Art Taylor,piano,56.5,5
ArtSaves,iranian,0.0,0
Artcell,metal,28.0,2
Artche,progressive-house,51.0,5
Artche,techno,38.5,3
Arte Elegante,latino,41.0,4
Arte Elegante,reggaeton,41.0,4
Artefuckt,german,38.0,3
Arthur Callazans,gospel,41.0,4
Arthur Fiedler,classical,0.09090909090909091,0
Arthur Fiedler,german,0.1,0
Arthur Fiedler,opera,21.0,2
Arthur Grumiaux,classical,10.0,1
Arthur Henrique,gospel,40.0,4
Arthur Miguel,chill,49.0,4
Arthur Miguel,soul,49.0,4
Artic,trance,37.0,3
Artie Lange,comedy,22.0,2
Artifacts,hardcore,13.0,1
Artifact,hardstyle,22.666666666666668,2
Artificial Intelligence,drum-and-bass,17.666666666666668,1
Artists for Puerto Rico,show-tunes,51.0,5
Artur Zmijewski,disney,23.0,2
Arturo Basile,opera,21.0,2
Arturo Benedetti Michelangeli,classical,0.0,0
Arturo Sandoval,opera,21.0,2
Artwork Sounds,deep-house,30.0,3
Artz,turkish,41.5,4
Arude,electronic,46.0,4
Aruman,iranian,0.0,0
Arun Gopan,malay,28.0,2
Arun Muraleedharan,malay,36.0,3
Arunraja Kamaraj,indie,48.0,4
Arunraja Kamaraj,malay,35.0,3
Arunraja Kamaraj,pop-film,56.0,5
Arun,pop,63.0,6
Aruyah Shan,malay,25.0,2
Arvid Holst,piano,62.0,6
Arvid Lundquist,goth,25.2,2
Arvid Nero,goth,23.666666666666668,2
Arvind KP,k-pop,51.0,5
Arvind Raj,malay,36.0,3
Arvingarna,swedish,37.25,3
Arvnd,sad,49.0,4
Arvo Pärt,classical,0.6666666666666666,0
Arya Dhayal,indian,14.0,1
Arya Dhayal,malay,40.0,4
Arya Prakash,idm,9.0,0
Aryan Sharma,indian,44.0,4
Arz,chill,36.5,3
As Baías,mpb,40.0,4
As Ganhadeiras de Itapuã,afrobeat,33.0,3
As Ganhadeiras de Itapuã,dub,33.0,3
As I Lay Dying,metalcore,55.0,5
Asadjohn,german,41.0,4
Asake,dancehall,65.66666666666667,6
Asal Kolaar,k-pop,47.0,4
Asal Kolaar,malay,28.0,2
Asami Tachibana,anime,44.0,4
Asaph Borba,gospel,39.0,3
Asaph,groove,28.0,2
Asas Livres,forro,38.8,3
Asdrubar,salsa,34.333333333333336,3
Ase Manual,club,32.0,3
Aseema Panda,samba,29.0,2
Aseem,indian,57.0,5
Aseem,indie,57.0,5
Aseem,singer-songwriter,41.5,4
Aseem,songwriter,41.5,4
Asees Kaur,edm,41.5,4
Asees Kaur,hip-hop,65.0,6
Asees Kaur,indian,47.0,4
Asees Kaur,indie-pop,43.0,4
Asees Kaur,k-pop,50.0,5
Asees Kaur,pop,69.77777777777777,6
Asees Kaur,pop-film,64.6,6
Asef Akbari,iranian,0.0,0
Asena,edm,57.0,5
Asep Balon,punk,37.0,3
Asgard,trance,0.0,0
Ash Code,goth,28.0,2
Ash Costello,punk,68.0,6
Ash Costello,punk-rock,68.0,6
Ash King,indian,49.0,4
Ash King,pop,67.5,6
Ash King,pop-film,62.0,6
Ash Koosha,iranian,3.0,0
Asha Bhosle,pop-film,54.666666666666664,5
Asha Elia,afrobeat,20.0,2
Ashal S,deep-house,0.0,0
Ashanti,dancehall,39.0,3
Ashanti,hardcore,74.0,7
Asha,dub,46.0,4
Asha,dubstep,46.0,4
Ashbury Heights,industrial,20.6,2
Ashbury Heights,synth-pop,22.0,2
Asher,electronic,46.8,4
Ashes Of Soma,grunge,26.0,2
Ashes Remain,alt-rock,66.5,6
Ashes Remain,alternative,69.0,6
Ashes Remain,rock,68.0,6
Asheville Symphony,kids,9.0,0
Ashe,electro,72.5,7
Ashh,french,32.0,3
Ashic Arun,malay,26.0,2
Ashika Ranganath,k-pop,44.0,4
Ashin Chen,mandopop,57.0,5
Ashira,funk,44.5,4
Ashish Kulkarni,folk,40.0,4
Ashish Singh Rawat,indie,49.0,4
Ashish Zachariah,singer-songwriter,41.0,4
Ashish Zachariah,songwriter,41.0,4
Ashkan Kagan,electronic,45.0,4
Ashland,metalcore,52.0,5
Ashley Alisha,chill,60.0,6
Ashley Drake,dub,49.0,4
Ashley Drake,dubstep,49.0,4
Ashley Kutcher,singer-songwriter,63.666666666666664,6
Ashley Kutcher,songwriter,63.666666666666664,6
Ashley McBryde,country,0.0,0
Ashley Monroe,country,0.0,0
Ashley Park,show-tunes,55.0,5
Ashley Slater,breakbeat,14.0,1
Ashley Wallbridge,trance,52.5,5
Ashnikko,deep-house,50.0,5
Ashnikko,electro,36.0,3
Ashnikko,groove,50.0,5
Ashoo,turkish,40.0,4
Ashton Woerz,show-tunes,29.0,2
Ashu Shukla,indian,50.0,5
Ashu Shukla,singer-songwriter,46.142857142857146,4
Ashu Shukla,songwriter,46.142857142857146,4
Ashwathy Krishnakumar,malay,30.0,3
Ashwin Adwani,edm,52.0,5
Ashwin Adwani,indian,45.75,4
Ashwin Adwani,indie,52.0,5
Ashwin Adwani,singer-songwriter,40.4,4
Ashwin Adwani,songwriter,40.4,4
Ashwin Renju,malay,23.0,2
Ash,electronic,57.6,5
Asia 2001,trance,32.0,3
Asiaboy 禁藥王 ＆ Lizi 栗子,mandopop,23.0,2
Asia,hard-rock,18.0,1
Asil Slang,turkish,41.5,4
Asim Azhar,dub,33.0,3
Asim Azhar,dubstep,33.0,3
Asim Azhar,pop,69.0,6
Asima Panda,samba,26.5,2
Aska Pratama,punk,37.0,3
Aska Yang,mandopop,49.75,4
